Time,DevEUI,Raw,Port,Vbat,Version,BootCount,T,RH,P,Light,CO2,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2024-10-17T00:02:00Z,"0002cc0100000eb0","36543b1678f935690a156cc1fe000000008400000000773774d775c17d1a7588",2,3.34,,10,21.42,75.78,,0.00,,0,132,0,0,,,,0.35,0.64,0.36,0.30,0.45
2024-10-17T00:07:56Z,"0002cc0100000eb0","36543b17dcf9356d0a1571c29c0000000084000000006c71f7cc6dc165df7c9d",2,3.34,,10,21.44,76.02,,0.00,,0,132,0,0,,,,0.58,0.09,0.18,-0.49,0.14
2024-10-17T00:13:48Z,"0002cc0100000eb0","36543b193cf935710a1574c296000000008501000000f5e974f165bf7c406f4c65f7",3,3.34,,10,21.45,76.01,,0.00,,1,133,0,0,,,0.09,0.23,0.53,0.09,0.31,-0.37
2024-10-17T00:19:44Z,"0002cc0100000eb0","36543b1aa0f2020402001571c2f0000000008500000000fffff405fd43745b5dc0",2,,2.4.2.0,,21.44,76.15,,0.00,,0,133,0,0,,,,0.04,0.27,-0.66,-0.25,-1.00
2024-10-17T00:25:40Z,"0002cc0100000eb0","36543b1c04f935710a1571c240000000008500000000f4d1fefcfffffffffe14",2,3.34,,10,21.44,75.88,,0.00,,0,133,0,0,,,,-0.76,-1.00,-1.00,-0.87,-0.30
2024-10-17T00:31:36Z,"0002cc0100000eb0","36543b1d68f935610a156cc228000000008500000000ffffffffffffffffff97ffff",2,3.34,,10,21.42,75.84,,0.00,,0,133,0,0,,,-1.00,-0.95,-1.00,-1.00,-1.00,-1.00
2024-10-17T00:37:32Z,"0002cc0100000eb0","36543b1eccf935690a1577c4140000000086010000006d58fd2bfe19754c744f",2,3.34,,10,21.46,76.59,,0.00,,1,134,0,0,,,,0.27,0.33,-0.76,-0.65,0.17
2024-10-17T00:43:28Z,"0002cc0100000eb0","36543b2030f935650a1577c2df00000000860000000077d1754d7c077c547c0b",2,3.34,,10,21.46,76.12,,0.00,,0,134,0,0,,,,0.51,0.54,0.50,0.33,0.49
2024-10-17T00:49:23Z,"0002cc0100000eb0","36543b2193f935690a157fc2c10000000087010000006e0b7c9474856fde543d",2,3.34,,10,21.49,76.08,,0.00,,1,135,0,0,,,,0.02,0.25,0.28,0.57,0.19
2024-10-17T00:55:20Z,"0002cc0100000eb0","36543b22f8f935590a158ac3ef000000008801000000edff74847c80775c7c72de85",2,3.33,,10,21.54,76.54,,0.00,,1,136,0,0,,,-0.05,0.56,0.46,0.56,0.28,-0.19
2024-10-17T01:01:15Z,"0002cc0100000eb0","36543b245bf935710a158dc33b0000000088000000006e937e687c046ee9764c",2,3.34,,10,21.55,76.26,,0.00,,0,136,0,0,,,,0.39,0.22,0.50,0.80,0.21
2024-10-17T01:07:11Z,"0002cc0100000eb0","36543b25bff935710a158ac3150000000089010000007c2f76d1e4cb77127554",2,3.34,,10,21.54,76.21,,0.00,,1,137,0,0,,,,0.33,0.44,-0.07,0.43,0.52
2024-10-17T01:13:07Z,"0002cc0100000eb0","36543b2723f9356d0a1582c341000000008900000000d4f35c9b75627466fceaff89",2,3.34,,10,21.51,76.27,,0.00,,0,137,0,0,,,-0.94,-0.61,0.27,0.34,0.04,-0.02
2024-10-17T01:19:03Z,"0002cc0100000eb0","36543b2887f9356d0a157fc34e000000008900000000fffffdd0ff4ffd367692",2,3.34,,10,21.49,76.29,,0.00,,0,137,0,0,,,,0.41,-0.65,-0.91,-0.73,-1.00
2024-10-17T01:24:59Z,"0002cc0100000eb0","36543b29ebf9356d0a1571c3fb000000008900000000ffff6e8474afff1effff",2,3.34,,10,21.44,76.56,,0.00,,0,137,0,0,,,,-1.00,-0.89,0.29,0.20,-1.00
2024-10-17T01:30:55Z,"0002cc0100000eb0","36543b2b4ff9356d0a1569c563000000008900000000ff8bfe85fffffffffd68",2,3.34,,10,21.41,77.11,,0.00,,0,137,0,0,,,,-0.68,-1.00,-1.00,-0.81,-0.94
2024-10-17T01:36:51Z,"0002cc0100000eb0","36543b2cb3f935400a1577c789000000008900000000fee5ff8a6cc0f6977cdae45e",2,3.33,,10,21.46,77.94,,0.00,,0,137,0,0,,,-0.07,0.61,-0.41,0.15,-0.94,-0.86
2024-10-17T01:42:47Z,"0002cc0100000eb0","36543b2e17f935690a157fc683000000008900000000e4b36cf867be47cfe490",2,3.34,,10,21.49,77.54,,0.00,,0,137,0,0,,,,-0.07,0.01,0.12,0.16,-0.07
2024-10-17T01:48:43Z,"0002cc0100000eb0","36543b2f7bf935690a157fc5f0000000008a01000000679cfe98e4137568eea77c73",2,3.34,,10,21.49,77.32,,0.00,,1,138,0,0,,,0.56,-0.21,0.34,-0.06,-0.82,0.12
2024-10-17T01:54:39Z,"0002cc0100000eb0","36543b30dff935690a157fc594000000008b01000000ec0c76436ff53de96c7a",2,3.34,,10,21.49,77.18,,0.00,,1,139,0,0,,,,0.14,0.00,0.25,0.39,-0.13
2024-10-17T02:00:35Z,"0002cc0100000eb0","36543b3243f935710a1582c573000000008c010000006e787c4374d97ca0743c",2,3.34,,10,21.51,77.13,,0.00,,1,140,0,0,,,,0.26,0.58,0.30,0.53,0.20
2024-10-17T02:06:31Z,"0002cc0100000eb0","36543b33a7f935710a157bc54c000000008f030000006edc5dac7c537c9c7d3774db",2,3.34,,10,21.48,77.07,,0.00,,3,143,0,0,,,0.30,0.65,0.58,0.54,0.04,0.21
2024-10-17T02:12:27Z,"0002cc0100000eb0","36543b350bf9356d0a1582c7d6000000008f0000000076cdffbaefa8dddb6fa6",2,3.34,,10,21.51,78.06,,0.00,,0,143,0,0,,,,0.24,-0.05,-0.24,-0.97,0.43
2024-10-17T02:18:23Z,"0002cc0100000eb0","36543b366ff935710a1586c7050000000092030000007c1afcce75cd7cbe6e84766c",2,3.34,,10,21.52,77.74,,0.00,,3,146,0,0,,,0.40,0.20,0.59,0.36,-0.60,0.51
2024-10-17T02:24:19Z,"0002cc0100000eb0","36543b37d3f935610a1582c510000000009301000000758f74c276fff4ebc5bb",2,3.34,,10,21.51,76.98,,0.00,,1,147,0,0,,,,-0.01,-0.31,0.44,0.30,0.35
2024-10-17T02:30:14Z,"0002cc0100000eb0","36543b3936f935710a1582c4850000000094010000007cc5df82fffff583763f",2,3.34,,10,21.51,76.77,,0.00,,1,148,0,0,,,,0.39,-0.34,-1.00,-0.06,0.60
2024-10-17T02:36:10Z,"0002cc0100000eb0","36543b3a9af9356d0a1574c46e000000009400000000fe3eeddcf71fffffff42fff9",2,3.34,,10,21.45,76.73,,0.00,,0,148,0,0,,,-1.00,-0.91,-1.00,-0.45,-0.18,-0.78
2024-10-17T02:42:06Z,"0002cc0100000eb0","36543b3bfef935690a1569c4670000000094000000006cc7fcb4ffff75f5e77e",2,3.34,,10,21.41,76.72,,0.00,,0,148,0,0,,,,-0.12,0.37,-1.00,-0.59,0.15
2024-10-17T02:48:02Z,"0002cc0100000eb0","36543b3d62f935690a1577c51f000000009602000000765c7d316fe777c57727",2,3.34,,10,21.46,77.00,,0.00,,2,150,0,0,,,,0.45,0.49,0.25,0.65,0.40
