Time,DevEUI,Raw,Port,Vbat,Version,BootCount,T,RH,P,Light,CO2,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2024-10-20T00:00:35Z,"0002cc0100000eb0","36543f0aa3f9357913150bc294000000001100000000ff58fffffffffe11fd47fd9f",2,3.34,,19,21.04,76.01,,0.00,,0,17,0,0,,,-0.70,-0.66,-0.76,-1.00,-1.00,-0.92
2024-10-20T00:06:31Z,"0002cc0100000eb0","36543f0c07f93575131503c22d000000001100000000ffffffffffffffffff10",2,3.34,,19,21.01,75.85,,0.00,,0,17,0,0,,,,-0.88,-1.00,-1.00,-1.00,-1.00
2024-10-20T00:12:27Z,"0002cc0100000eb0","36543f0d6bf93586131507c23f0000000011000000007575ff27fffbfc9cf5f1f440",2,3.35,,19,21.03,75.88,,0.00,,0,17,0,0,,,-0.27,-0.37,-0.58,-1.00,-0.89,0.34
2024-10-20T00:18:23Z,"0002cc0100000eb0","36543f0ecff93569131503c369000000001302000000fc98fe71fdd8e7f074f7",2,3.34,,19,21.01,76.33,,0.00,,2,19,0,0,,,,0.31,-0.12,-0.73,-0.81,-0.57
2024-10-20T00:24:19Z,"0002cc0100000eb0","36543f1033f93579131524c5990000000015020000007ca47d577d0c7c7876f2",2,3.34,,19,21.14,77.19,,0.00,,2,21,0,0,,,,0.43,0.56,0.63,0.67,0.58
2024-10-20T00:30:15Z,"0002cc0100000eb0","36543f1197f9356d131536c3f200000000150000000077a3e6d87c247e807dfb7c5b",2,3.34,,19,21.21,76.54,,0.00,,0,21,0,0,,,0.54,0.75,0.81,0.52,-0.11,0.48
2024-10-20T00:36:11Z,"0002cc0100000eb0","36543f12fbf9357d13153ec5b1000000001500000000748c77547dc96d0f56d4",2,3.34,,19,21.24,77.22,,0.00,,0,21,0,0,,,,0.03,0.16,0.72,0.46,0.28
2024-10-20T00:42:07Z,"0002cc0100000eb0","36543f145ff93575131549c4b50000000015000000007cc67c2077ad7ccc767a74e3",2,3.34,,19,21.28,76.84,,0.00,,0,21,0,0,,,0.31,0.40,0.60,0.48,0.52,0.60
2024-10-20T00:48:02Z,"0002cc0100000eb0","36543f15c2f9357513154cc3f200000000150000000077167e0d741c67337410",2,3.34,,19,21.30,76.54,,0.00,,0,21,0,0,,,,0.25,0.11,0.26,0.76,0.44
2024-10-20T00:53:59Z,"0002cc0100000eb0","36543f1727f93571131553c5b7000000001702000000fc01762366487c337c427cf6",2,3.34,,19,21.32,77.23,,0.00,,2,23,0,0,,,0.62,0.53,0.53,0.10,0.38,-0.50
2024-10-20T00:59:54Z,"0002cc0100000eb0","36543f188af9356d13155bc5ca000000001801000000f621ec296765770c7cb9",2,3.34,,19,21.35,77.26,,0.00,,1,24,0,0,,,,0.59,0.44,0.12,-0.13,-0.38
2024-10-20T01:05:50Z,"0002cc0100000eb0","36543f19eef9356d131562c6ed0000000018000000006d8f7e6e7da77c397d33",2,3.34,,19,21.38,77.71,,0.00,,0,24,0,0,,,,0.65,0.53,0.71,0.80,0.17
2024-10-20T01:11:46Z,"0002cc0100000eb0","36543f1b52f9356d131577c9660000000018000000006ede7e5576bc7d907d126da5",2,3.34,,19,21.46,78.67,,0.00,,0,24,0,0,,,0.18,0.63,0.70,0.42,0.79,0.21
2024-10-20T01:17:42Z,"0002cc0100000eb0","36543f1cb6f93579131571c65d000000001901000000fcd374b8751e76c87dcb",2,3.34,,19,21.44,77.49,,0.00,,1,25,0,0,,,,0.72,0.42,0.32,0.29,-0.60
2024-10-20T01:23:38Z,"0002cc0100000eb0","36543f1e1af9356d131571c55200000000190000000076447e35746f7c8567257cf5",2,3.34,,19,21.44,77.08,,0.00,,0,25,0,0,,,0.62,0.11,0.56,0.28,0.78,0.39
