Time,DevEUI,Raw,Vbat,Vsystem,Vbus,BootCount,T,RH,P,Light,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2023-02-02T00:00:25Z,"0002cc0100000648","225105bf99fd3e7f025f0d154d624632ac0bd0000000000000ffffffffffffffffffffffff",3.91,,0.15,13,21.30,19.79,100628.00,189.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-02T00:06:22Z,"0002cc0100000648","225105c0fefd3e7b025f0d1552624232e00a90000000000000ffffffffffffffffffffffff",3.90,,0.15,13,21.32,19.87,100614.00,169.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-02T00:12:18Z,"0002cc0100000648","225105c262fd3e7b02670d1552624533cd0ad0000000000000ffffffffffffffffffffffff",3.90,,0.15,13,21.32,20.23,100627.00,173.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-02T00:18:14Z,"0002cc0100000648","225105c3c6fd3e7b025f0d1555624c33570b60000000000000ffffffffffffffffffffffff",3.90,,0.15,13,21.33,20.05,100652.00,182.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-02T00:24:10Z,"0002cc0100000648","225105c52afd3e77025f0d1558624a33140ba0000000000000ffffffffffffffffffffffff",3.90,,0.15,13,21.34,19.95,100647.00,186.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-02T00:30:06Z,"0002cc0100000648","225105c68efd3e77025f0d155a624032da0b10000000000000ffffffffffffffffffffffff",3.90,,0.15,13,21.35,19.86,100604.00,177.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-02T00:36:02Z,"0002cc0100000648","225105c7f2fd3e7702670d155d624232ff0b80000000000000ffffffffffffffffffffffff",3.90,,0.15,13,21.36,19.92,100614.00,184.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-02T00:41:58Z,"0002cc0100000648","225105c956fd3e7b025f0d155f624632a70bd0000000000000ffffffffffffffffffffffff",3.90,,0.15,13,21.37,19.79,100631.00,189.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-02T00:47:54Z,"0002cc0100000648","225105cabafd3e7b025f0d1562623d32bd0bf0000000000000ffffffffffffffffffffffff",3.90,,0.15,13,21.38,19.82,100594.00,191.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-02T00:53:50Z,"0002cc0100000648","225105cc1efd3e7b025f0d1562624232560ae0000000000000fffffffffc85ffffffffffff",3.90,,0.15,13,21.38,19.66,100613.00,174.00,0,0,0,0,,,-1.00,-1.00,-1.00,-0.56,-1.00,-1.00
2023-02-02T00:59:47Z,"0002cc0100000648","225105cd83fd3e7b025f0d155d624234530a70000000000000ffffffffffffffffffffffff",3.90,,0.15,13,21.36,20.44,100614.00,167.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-02T01:05:43Z,"0002cc0100000648","225105cee7fd3e7b02670d15506240353d0a40000000000000ffffffffffffffffffffffff",3.90,,0.15,13,21.31,20.80,100604.00,164.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
