Time,DevEUI,Raw,Port,Vbat,Version,BootCount,T,RH,P,Light,CO2,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2024-10-10T00:05:52Z,"0002cc0100000eb0","365431dce0f93ab908161baa5046a273000000000000ffffffffffffffffffff",2,3.67,,8,22.10,66.53,,209.22,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T00:11:49Z,"0002cc0100000eb0","365431de45f93ab5081617aa4746a22c000000000000ffffffffffffffffffffffff",2,3.67,,8,22.09,66.52,,209.09,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T00:17:44Z,"0002cc0100000eb0","365431dfa8f93ac1081613aa5c46a20e000000000000ffffffffffffffffffff",2,3.67,,8,22.07,66.55,,209.03,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T00:23:40Z,"0002cc0100000eb0","365431e10cf93ab9081608aa5d46a1df000000000000ffffffffffffffffffff",2,3.67,,8,22.03,66.55,,208.94,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T00:29:36Z,"0002cc0100000eb0","365431e270f93ac1081608aa6546a206000000000000ffffffffffffffffffff",2,3.67,,8,22.03,66.56,,209.01,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T00:35:32Z,"0002cc0100000eb0","365431e3d4f93ab9081601aa3c46a1de000000000000ffffffffffffffffffffffff",2,3.67,,8,22.00,66.50,,208.93,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T00:41:28Z,"0002cc0100000eb0","365431e538f93ab90815fdaa4146a1ef000000000000ffffffffffffffffffff",2,3.67,,8,21.99,66.51,,208.97,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T00:47:24Z,"0002cc0100000eb0","365431e69cf93ac10815fdaa3946a1e2000000000000ffffffffffffffffffff",2,3.67,,8,21.99,66.49,,208.94,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T00:53:20Z,"0002cc0100000eb0","365431e800f93ac10815efaa574285f2000000000000ffffffffffffffffffffffff",2,3.67,,8,21.93,66.54,,12.19,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T00:59:16Z,"0002cc0100000eb0","365431e964f93ab90815ecaa7d4285f2000000000000ffffffffffffffffffff",2,3.67,,8,21.92,66.60,,12.19,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T01:05:12Z,"0002cc0100000eb0","365431eac8f93ab90815e1aa844284c3000000000000ffffffffffffffffffffffff",2,3.67,,8,21.88,66.61,,12.15,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T01:11:08Z,"0002cc0100000eb0","365431ec2cf93ac10815daaabf428689000000000000ffffffffffffffffffff",2,3.67,,8,21.85,66.70,,12.20,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T01:17:04Z,"0002cc0100000eb0","365431ed90f93ab10815d6aac5428689000000000000ffffffffffffffffffff",2,3.67,,8,21.83,66.71,,12.20,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T01:23:00Z,"0002cc0100000eb0","365431eef4f93ab90815daab024284c3000000000000ffffffffffffffffffff",2,3.67,,8,21.85,66.80,,12.15,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T01:28:56Z,"0002cc0100000eb0","365431f058f93ac10815ddac9146a4e0000000000000ffffffffffffffffffffffff",2,3.67,,8,21.86,67.41,,210.44,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T01:34:52Z,"0002cc0100000eb0","365431f1bcf93ab90815e8ac8246a3e7000000000000ffffffffffffffffffff",2,3.67,,8,21.91,67.39,,209.95,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T01:40:48Z,"0002cc0100000eb0","365431f320f93ab10815ecacc4428594000000000000ffffffffffffffffffffffff",2,3.67,,8,21.92,67.49,,12.17,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T01:46:44Z,"0002cc0100000eb0","365431f484f20204020015e4ad09428465000000000000ffffffffffffffffffff",2,,2.4.2.0,,21.89,67.59,,12.14,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T01:52:40Z,"0002cc0100000eb0","365431f5e8f93ab90815e4ad684283cd000000000000ffffffffffffffffffff",2,3.67,,8,21.89,67.74,,12.12,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T01:58:36Z,"0002cc0100000eb0","365431f74cf93ab90815e4ad994283cd000000000000ffffffffffffffffffffffff",2,3.67,,8,21.89,67.81,,12.12,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T02:04:32Z,"0002cc0100000eb0","365431f8b0f93ab90815efad5046a456000000000000ffffffffffffffffffff",2,3.67,,8,21.93,67.70,,210.17,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T02:10:28Z,"0002cc0100000eb0","365431fa14f93ab90815fdad5746a3c6000000000000ffffffffffffffffffff",2,3.67,,8,21.99,67.71,,209.89,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T02:16:24Z,"0002cc0100000eb0","365431fb78f93ab1081601ad6242875a000000000000ffffffffffffffffffffffff",2,3.67,,8,22.00,67.73,,12.23,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T02:22:20Z,"0002cc0100000eb0","365431fcdcf93ab90815f7ad364284fc000000000000ffffffffffffffffffff",2,3.67,,8,21.96,67.66,,12.16,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T02:28:16Z,"0002cc0100000eb0","365431fe40f93ab90815faad894285f2000000000000ffffffffffffffffffff",2,3.67,,8,21.97,67.79,,12.19,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T02:34:12Z,"0002cc0100000eb0","365431ffa4f93ab9081601addd4284c3000000000000ffffffffffffffffffffffff",2,3.67,,8,22.00,67.92,,12.15,,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T02:40:08Z,"0002cc0100000eb0","3654320108f93ab1081608adc3428689000000000000ffffffffffffffffffff",2,3.67,,8,22.03,67.88,,12.20,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-10T02:46:04Z,"0002cc0100000eb0","365432026cf93ab908160cae05428465000000000000ffffffffffffffffffff",2,3.67,,8,22.04,67.98,,12.14,,0,0,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
