Time,DevEUI,Raw,Port,Vbat,Version,BootCount,T,RH,P,Light,CO2,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2024-10-22T00:03:21Z,"0002cc0100000eb0","365441ae49f93571131503c28100000000ce00000000fe59ff3efe46ffc8ffe2",2,3.34,,19,21.01,75.98,,0.00,,0,206,0,0,,,,-0.99,-0.97,-0.78,-0.91,-0.79
2024-10-22T00:09:17Z,"0002cc0100000eb0","365441afadf93569131507c48b00000000d002000000fc9dfe166dc0e60d6d477577",2,3.34,,19,21.03,76.78,,0.00,,2,208,0,0,,,0.34,0.16,-0.09,0.18,-0.76,-0.58
2024-10-22T00:15:13Z,"0002cc0100000eb0","365441b111f9356d131524c5a800000000d20200000076edfc6476ec772277b7",2,3.34,,19,21.14,77.21,,0.00,,2,210,0,0,,,,0.48,0.45,0.43,-0.55,0.43
2024-10-22T00:21:08Z,"0002cc0100000eb0","365441b274f9356513153ec5a900000000d200000000fc017533764a74cdfe0f",2,3.34,,19,21.24,77.21,,0.00,,0,210,0,0,,,,-0.76,0.30,0.39,0.32,-0.50
2024-10-22T00:27:05Z,"0002cc0100000eb0","365441b3d9f93575131545c60300000000d3010000007550f628e7837cd55eb77c39",2,3.34,,19,21.27,77.35,,0.00,,1,211,0,0,,,0.53,0.05,0.60,-0.12,-0.38,0.33
2024-10-22T00:33:00Z,"0002cc0100000eb0","365441b53cf93579131545c45600000000d5020000006f627c56f5f3742a7c2a",2,3.34,,19,21.27,76.69,,0.00,,2,213,0,0,,,,0.52,0.26,-0.37,0.54,0.23
2024-10-22T00:38:56Z,"0002cc0100000eb0","365441b6a0f9356913153ac3f300000000d500000000ffffe614f4cdfcdaf4c9",2,3.34,,19,21.22,76.54,,0.00,,0,213,0,0,,,,-0.30,-0.61,-0.30,-0.09,-1.00
2024-10-22T00:44:52Z,"0002cc0100000eb0","365441b804f9357513153ec6a500000000d601000000fc4efe91e441fcd87c9f475b",2,3.34,,19,21.24,77.60,,0.00,,1,214,0,0,,,0.01,0.58,-0.61,-0.07,-0.82,-0.54
2024-10-22T00:50:48Z,"0002cc0100000eb0","365441b968f9356d131536c4d100000000d600000000feaffe15ffeaff87ffff",2,3.34,,19,21.21,76.88,,0.00,,0,214,0,0,,,,-1.00,-0.94,-0.99,-0.76,-0.84
2024-10-22T00:56:44Z,"0002cc0100000eb0","365441baccf9356d131530c3ae00000000d600000000ffeffffffffffee2ffff",2,3.34,,19,21.18,76.44,,0.00,,0,214,0,0,,,,-1.00,-0.86,-1.00,-1.00,-0.99
