Time,DevEUI,Raw,Vbat,Vsystem,Vbus,BootCount,T,RH,P,Light,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2023-02-05T00:01:11Z,"0002cc0100000648","225109b447fd3e09025f0d1569618933d00bc0000000000000ffffffffffffffffffffffff",3.88,,0.15,13,21.41,20.24,99874.00,188.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-05T00:07:08Z,"0002cc0100000648","225109b5acfd3e1502670d156c618833b20d10000000000000ffffffffffffffffffffffff",3.88,,0.15,13,21.42,20.19,99869.00,209.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-05T00:13:03Z,"0002cc0100000648","225109b70ffd3e19025f0d1569618733aa0bd0000000000000ffffffffffffffffffffffff",3.88,,0.15,13,21.41,20.18,99867.00,189.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-05T00:19:00Z,"0002cc0100000648","225109b874fd3e15025f0d1569618533940c90000000000000ffffffffffffffffffffffff",3.88,,0.15,13,21.41,20.15,99859.00,201.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-05T00:24:56Z,"0002cc0100000648","225109b9d8fd3e09025f0d156c618434280bd0000000000000ffffffffffffffffffffffff",3.88,,0.15,13,21.42,20.37,99853.00,189.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-05T00:30:52Z,"0002cc0100000648","225109bb3cfd3e15025f0d15716183339d0cd0000000000000ffffffffffffffffffffffff",3.88,,0.15,13,21.44,20.16,99851.00,205.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-05T00:36:48Z,"0002cc0100000648","225109bca0fd3e15025f0d1571618134220c80000000000000ffffffffffffffffffffffff",3.88,,0.15,13,21.44,20.36,99841.00,200.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-05T00:42:44Z,"0002cc0100000648","225109be04fd3e15025f0d1571617e34220cc0000000000000ffffffffffffffffffffffff",3.88,,0.15,13,21.44,20.36,99828.00,204.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-05T00:48:40Z,"0002cc0100000648","225109bf68fd3e15025f0d1574617d34040bf0000000000000ffffffffffffffffffffffff",3.88,,0.15,13,21.45,20.32,99826.00,191.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-05T00:54:36Z,"0002cc0100000648","225109c0ccfd3e15025f0d1574617d33c20c90000000000000ffffffffffffffffffffffff",3.88,,0.15,13,21.45,20.22,99824.00,201.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-05T01:00:33Z,"0002cc0100000648","225109c231fd3e11025f0d1574617e33c90c70000000000000ffffffffffffffffffffffff",3.88,,0.15,13,21.45,20.23,99828.00,199.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-05T01:06:29Z,"0002cc0100000648","225109c395fd3e11025f0d1571617d33c90db0000000000000ffffffffffffffffffffffff",3.88,,0.15,13,21.44,20.23,99827.00,219.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-05T01:12:25Z,"0002cc0100000648","225109c4f9fd3e11025f0d1571617d33700b40000000000000ffffffffffffffffffffffff",3.88,,0.15,13,21.44,20.09,99825.00,180.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-05T01:18:21Z,"0002cc0100000648","225109c65dfd3e0902670d156f617d33520cb0000000000000ffffffffffffffffffffffff",3.88,,0.15,13,21.43,20.05,99825.00,203.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-05T01:24:17Z,"0002cc0100000648","225109c7c1fd3e15025f0d156f617b333c0df0000000000000ffffffffffffffffffffffff",3.88,,0.15,13,21.43,20.01,99818.00,223.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-05T01:30:13Z,"0002cc0100000648","225109c925fd3e15025f0d156c617833170b70000000000000ffffffffffffffffffffffff",3.88,,0.15,13,21.42,19.96,99804.00,183.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-05T01:36:09Z,"0002cc0100000648","225109ca89fd3e1502520d15696175330f0c20000000000000ffffffffffffffffffffffff",3.88,,0.14,13,21.41,19.95,99795.00,194.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-05T01:42:05Z,"0002cc0100000648","225109cbedfd3e15025f0d15696178333b0c90000000000000ffffffffffffffffffffffff",3.88,,0.15,13,21.41,20.01,99804.00,201.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-05T01:48:01Z,"0002cc0100000648","225109cd51fd3e1502520d1569617632eb0c20000000000000ffffffffffffffffffffffff",3.88,,0.14,13,21.41,19.89,99797.00,194.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2023-02-05T01:53:58Z,"0002cc0100000648","225109ceb6fd3dfc02670d156c61753308f000000000000000ffffffffffffffffffffffff",3.87,,0.15,13,21.42,19.93,99792.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
