Time,DevEUI,Raw,Port,Vbat,Version,BootCount,T,RH,P,Light,CO2,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2024-10-12T00:00:44Z,"0002cc0100000eb0","3654347eacf935690a1503c7af0000000007000000007d057cfd7cde6f607d8d7777",2,3.34,,10,21.01,78.00,,0.00,,0,7,0,0,,,0.47,0.69,0.23,0.61,0.62,0.63
2024-10-12T00:06:40Z,"0002cc0100000eb0","3654348010f9356d0a150bc7c80000000007000000007c9577db6cf17c565f98",2,3.34,,10,21.04,78.04,,0.00,,0,7,0,0,,,,0.06,0.54,0.15,0.49,0.57
2024-10-12T00:12:36Z,"0002cc0100000eb0","3654348174f935710a151cc82800000000070000000075eb7d457c7977fd7652",2,3.34,,10,21.11,78.19,,0.00,,0,7,0,0,,,,0.40,0.50,0.56,0.66,0.37
2024-10-12T00:18:32Z,"0002cc0100000eb0","36543482d8f935710a1527c8430000000007000000007c2f7d50769a76f1768a",2,3.34,,10,21.15,78.23,,0.00,,0,7,0,0,,,,0.41,0.43,0.41,0.66,0.52
2024-10-12T00:24:28Z,"0002cc0100000eb0","365434843cf935690a153ac9360000000007000000006ff87c8076d075f77d6376e1",2,3.34,,10,21.22,78.60,,0.00,,0,7,0,0,,,0.43,0.67,0.37,0.43,0.56,0.25
2024-10-12T00:30:24Z,"0002cc0100000eb0","36543485a0f935610a1545c8c70000000007000000007d3277897c827c4d7c43",2,3.34,,10,21.27,78.43,,0.00,,0,7,0,0,,,,0.53,0.54,0.56,0.47,0.65
2024-10-12T00:36:20Z,"0002cc0100000eb0","3654348704f9356d0a153ac8dc00000000070000000077bd65ed6c987cce77a57c8f",2,3.34,,10,21.22,78.46,,0.00,,0,7,0,0,,,0.57,0.48,0.60,0.14,0.09,0.48
2024-10-12T00:42:16Z,"0002cc0100000eb0","3654348868f935650a153ac8f70000000007000000007e1fef0a76bf743c7777",2,3.34,,10,21.22,78.50,,0.00,,0,7,0,0,,,,0.47,0.26,0.42,-0.22,0.77
2024-10-12T00:48:12Z,"0002cc0100000eb0","36543489ccf935710a153ec9320000000007000000007d51768e7493747cee7e7790",2,3.34,,10,21.24,78.59,,0.00,,0,7,0,0,,,0.47,-0.20,0.28,0.29,0.41,0.66
2024-10-12T00:54:08Z,"0002cc0100000eb0","3654348b30f935690a153ac9a10000000007000000006717f6236e376e3c6f7a",2,3.34,,10,21.22,78.76,,0.00,,0,7,0,0,,,,0.23,0.19,0.19,-0.38,0.11
2024-10-12T01:00:04Z,"0002cc0100000eb0","3654348c94f9356d0a153ec99b000000000700000000f7b1fd7477597c1b6f4b",2,3.34,,10,21.24,78.75,,0.00,,0,7,0,0,,,,0.23,0.51,0.46,-0.68,-0.48
2024-10-12T01:06:00Z,"0002cc0100000eb0","3654348df8f935650a153ecad70000000007000000007c1c7c8c762e76997c4c7ca0",2,3.34,,10,21.24,79.24,,0.00,,0,7,0,0,,,0.58,0.54,0.41,0.39,0.57,0.51
2024-10-12T01:11:56Z,"0002cc0100000eb0","3654348f5cf935710a1550ca6500000000070000000075d075f27c647d6577b1",2,3.34,,10,21.31,79.06,,0.00,,0,7,0,0,,,,0.48,0.67,0.55,0.37,0.36
2024-10-12T01:17:52Z,"0002cc0100000eb0","36543490c0f935710a1553ca670000000007000000007c266c4d75f665157d164cc1",2,3.34,,10,21.32,79.06,,0.00,,0,7,0,0,,,0.01,0.64,0.08,0.37,0.13,0.52
2024-10-12T01:23:48Z,"0002cc0100000eb0","3654349224f935690a155bcb0f00000000070000000076e46667e5787e3d6c91",2,3.34,,10,21.35,79.32,,0.00,,0,7,0,0,,,,0.14,0.78,-0.09,0.10,0.43
2024-10-12T01:29:43Z,"0002cc0100000eb0","3654349387f935690a1566cb070000000007000000006c8e6e7374e4745e7d4e",2,3.34,,10,21.40,79.31,,0.00,,0,7,0,0,,,,0.66,0.27,0.31,0.20,0.14
2024-10-12T01:35:39Z,"0002cc0100000eb0","36543494ebf935690a1562cbde00000000070000000074e9e517649176d6759377cb",2,3.34,,10,21.38,79.64,,0.00,,0,7,0,0,,,0.49,0.35,0.43,0.07,-0.08,0.31
2024-10-12T01:41:35Z,"0002cc0100000eb0","365434964ff935710a1571cc1a00000000070000000076d4fc8555b77d2b7686",2,3.34,,10,21.44,79.73,,0.00,,0,7,0,0,,,,0.41,0.65,0.02,-0.56,0.43
2024-10-12T01:47:31Z,"0002cc0100000eb0","36543497b3f935690a1574cbc70000000007000000007cda77d565bc75e77765",2,3.34,,10,21.45,79.60,,0.00,,0,7,0,0,,,,0.46,0.37,0.09,0.49,0.61
2024-10-12T01:53:27Z,"0002cc0100000eb0","3654349917f935690a1577cbae0000000007000000007c5074eaf482f79b6cbe",2,3.34,,10,21.46,79.56,,0.00,,0,7,0,0,,,,0.15,-0.48,-0.28,0.31,0.54
2024-10-12T01:59:23Z,"0002cc0100000eb0","3654349a7bf935690a157fcca10000000007000000006d5e7c9e6edf76d775257677",2,3.34,,10,21.49,79.93,,0.00,,0,7,0,0,,,0.40,0.32,0.43,0.21,0.58,0.17
2024-10-12T02:05:19Z,"0002cc0100000eb0","3654349bdff935690a1586cbf0000000000700000000767b76c87cee75f3755b",2,3.34,,10,21.52,79.66,,0.00,,0,7,0,0,,,,0.33,0.37,0.62,0.42,0.41
2024-10-12T02:11:15Z,"0002cc0100000eb0","3654349d43f935610a1586cbbe0000000007000000007c2d7c856d36f57af684",2,3.34,,10,21.52,79.59,,0.00,,0,7,0,0,,,,-0.41,-0.34,0.16,0.56,0.52
2024-10-12T02:17:11Z,"0002cc0100000eb0","3654349ea7f935710a158acc8600000000070000000077f5767b7d677cc074e4e793",2,3.34,,10,21.54,79.89,,0.00,,0,7,0,0,,,-0.12,0.31,0.59,0.68,0.41,0.50
2024-10-12T02:23:07Z,"0002cc0100000eb0","365434a00bf9356d0a1591cc1a000000000700000000e68774f17ce1fef26c97",2,3.34,,10,21.56,79.73,,0.00,,0,7,0,0,,,,0.14,-0.87,0.61,0.31,-0.10
2024-10-12T02:29:03Z,"0002cc0100000eb0","365434a16ff935690a159ccc7d00000000070000000075666e4e77c17ca97cbf",2,3.34,,10,21.61,79.88,,0.00,,0,7,0,0,,,,0.59,0.58,0.48,0.20,0.34
2024-10-12T02:34:59Z,"0002cc0100000eb0","365434a2d3f935690a159ccbb1000000000700000000752b7d777cf56eb97c88771f",2,3.34,,10,21.61,79.57,,0.00,,0,7,0,0,,,0.44,0.57,0.21,0.62,0.68,0.32
2024-10-12T02:40:55Z,"0002cc0100000eb0","365434a437f935690a159ccb780000000007000000007d5974c0772d6e276c7f",2,3.34,,10,21.61,79.48,,0.00,,0,7,0,0,,,,0.14,0.19,0.45,0.30,0.67
2024-10-12T02:46:50Z,"0002cc0100000eb0","365434a59af202040200159ccbd3000000000700000000df11e776f44a6d167c1e",2,,2.4.2.0,,21.61,79.62,,0.00,,0,7,0,0,,,,0.51,0.16,-0.27,-0.12,-0.06
2024-10-12T02:52:46Z,"0002cc0100000eb0","365434a6fef935690a159fcc3200000000070000000047e15e2876936d257cd07c83",2,3.34,,10,21.62,79.77,,0.00,,0,7,0,0,,,0.56,0.60,0.16,0.41,0.05,0.01
2024-10-12T02:58:42Z,"0002cc0100000eb0","365434a862f935690a15adcbee0000000007000000007e377c6575d2660d76fe",2,3.34,,10,21.68,79.66,,0.00,,0,7,0,0,,,,0.44,0.09,0.36,0.55,0.78
2024-10-12T03:04:38Z,"0002cc0100000eb0","365434a9c6f935610a15aacc39000000000700000000e61fec20df4bdd75767bf446",2,3.34,,10,21.66,79.78,,0.00,,0,7,0,0,,,-0.27,0.41,-0.04,-0.06,-0.13,-0.10
2024-10-12T03:10:34Z,"0002cc0100000eb0","365434ab2af935790a159ccc1a000000000700000000ffffffffffffffffedc4",2,3.34,,10,21.61,79.73,,0.00,,0,7,0,0,,,,-0.18,-1.00,-1.00,-1.00,-1.00
2024-10-12T03:16:30Z,"0002cc0100000eb0","365434ac8ef935610a15a2ccc80000000007000000007c8e7723f56d6e5377f07477",2,3.34,,10,21.63,79.99,,0.00,,0,7,0,0,,,0.28,0.50,0.20,-0.34,0.45,0.57
2024-10-12T03:22:26Z,"0002cc0100000eb0","365434adf2f935690a15a2cc65000000000700000000753a751a772d64c1d6e0",2,3.34,,10,21.63,79.84,,0.00,,0,7,0,0,,,,-0.03,0.07,0.45,0.32,0.33
2024-10-12T03:28:22Z,"0002cc0100000eb0","365434af56f935610a15a2cbf400000000070000000077986f5075117dae748c7c75",2,3.34,,10,21.63,79.67,,0.00,,0,7,0,0,,,0.56,0.28,0.71,0.32,0.23,0.47
2024-10-12T03:34:18Z,"0002cc0100000eb0","365434b0baf935690a159ccafa0000000007000000007c1e774deda2f619dfbe",2,3.34,,10,21.61,79.29,,0.00,,0,7,0,0,,,,-0.06,-0.38,-0.18,0.46,0.51
2024-10-12T03:40:14Z,"0002cc0100000eb0","365434b21ef935650a159fcbcf000000000700000000742d765f6ccd6dd477c0",2,3.34,,10,21.62,79.61,,0.00,,0,7,0,0,,,,0.48,0.18,0.15,0.40,0.26
2024-10-12T03:46:10Z,"0002cc0100000eb0","365434b382f935690a15a2cb4b00000000070000000077d16ff37c7df7496ec5e7fb",2,3.34,,10,21.63,79.41,,0.00,,0,7,0,0,,,-0.12,0.21,-0.46,0.56,0.25,0.49
2024-10-12T03:52:06Z,"0002cc0100000eb0","365434b4e6f935710a1598caf70000000007000000006e90eca2fd15f4ebff04",2,3.34,,10,21.59,79.28,,0.00,,0,7,0,0,,,,-0.88,-0.31,-0.64,-0.14,0.21
2024-10-12T03:58:02Z,"0002cc0100000eb0","365434b64af935690a159fcc78000000000700000000774a769e7c927cdb7c89",2,3.34,,10,21.62,79.87,,0.00,,0,7,0,0,,,,0.57,0.61,0.57,0.41,0.46
2024-10-12T04:03:58Z,"0002cc0100000eb0","365434b7aef935710a15a2cbca000000000700000000f4f866856c3276337c3a",2,3.34,,10,21.63,79.61,,0.00,,0,7,0,0,,,,0.53,0.39,0.13,0.10,-0.31
2024-10-12T04:09:54Z,"0002cc0100000eb0","365434b912f935610a15a7cbf00000000007000000006c2d74f0c6b6ed2cf447649b",2,3.34,,10,21.65,79.66,,0.00,,0,7,0,0,,,0.07,-0.27,-0.16,-0.01,0.31,0.13
2024-10-12T04:15:50Z,"0002cc0100000eb0","365434ba76f9356d0a159fcbf1000000000700000000f4dc6642758b54007c16",2,3.34,,10,21.62,79.67,,0.00,,0,7,0,0,,,,0.51,0.02,0.35,0.10,-0.30
2024-10-12T04:21:45Z,"0002cc0100000eb0","365434bbd9f935690a159fcbdc0000000007000000007c9d7406778e6cff6c37",2,3.34,,10,21.62,79.63,,0.00,,0,7,0,0,,,,0.13,0.16,0.47,0.25,0.58
2024-10-12T04:27:41Z,"0002cc0100000eb0","365434bd3df935710a159fcc47000000000700000000fce45dcc756ced7b7408",2,3.34,,10,21.62,79.80,,0.00,,0,7,0,0,,,,0.25,-0.17,0.34,0.05,-0.61
2024-10-12T04:33:37Z,"0002cc0100000eb0","365434bea1f9356d0a15a7cc2100000000070000000065a66f9c75fb74736fff6dec",2,3.34,,10,21.65,79.74,,0.00,,0,7,0,0,,,0.19,0.25,0.28,0.37,0.24,0.09
2024-10-12T04:39:33Z,"0002cc0100000eb0","365434c005f935690a15aacc3900000000070000000074b3ee01f4ac7d25dd8b",2,3.34,,10,21.66,79.78,,0.00,,0,7,0,0,,,,-0.04,0.64,-0.29,-0.19,0.29
2024-10-12T04:45:29Z,"0002cc0100000eb0","365434c169f935610a15a7cc0c0000000007000000007c206534f593eea66ed0",2,3.34,,10,21.65,79.71,,0.00,,0,7,0,0,,,,0.21,-0.21,-0.35,0.08,0.52
2024-10-12T04:51:25Z,"0002cc0100000eb0","365434c2cdf935710a15b6cc720000000007000000006fb17ce575f07c4177f6",2,3.34,,10,21.71,79.86,,0.00,,0,7,0,0,,,,0.50,0.53,0.37,0.61,0.24
2024-10-12T04:57:21Z,"0002cc0100000eb0","365434c431f935690a15b2cc3e000000000700000000fe7a6fb06c676dca76d9",2,3.34,,10,21.69,79.78,,0.00,,0,7,0,0,,,,0.43,0.18,0.14,0.24,-0.81
2024-10-12T05:03:17Z,"0002cc0100000eb0","365434c595f935710a15b6cc72000000000700000000763376fb7cf97610ee6d756d",2,3.34,,10,21.71,79.86,,0.00,,0,7,0,0,,,0.34,-0.20,0.38,0.62,0.44,0.39
