Time,DevEUI,Raw,Vbat,Vsystem,Vbus,BootCount,T,RH,P,Light,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2022-12-11T00:03:53Z,"0002cc01000003e9","2250bfe0e9fd39cf050f11148361c455500a00000000000000ffffffffffffffffffffffff",3.61,,0.32,17,20.51,33.33,100111.00,5.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-11T00:09:49Z,"0002cc01000003e9","2250bfe24dfd39cf050f11148361c755500f00000000000000ffffffffffffffffffffffff",3.61,,0.32,17,20.51,33.33,100122.00,15.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-116005.98
2022-12-11T00:15:45Z,"0002cc01000003e9","2250bfe3b1fd39bb050f11148161c955260b00000000000000ffffffffffffffffffffffff",3.61,,0.32,17,20.50,33.26,100130.00,11.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-114615.99
2022-12-11T00:21:41Z,"0002cc01000003e9","2250bfe515fd39cb050f11147e61ca551ef000000000000000ffffffffffffffffffffffff",3.61,,0.32,17,20.49,33.25,100133.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-11T00:27:37Z,"0002cc01000003e9","2250bfe679fd39c7050f11147b61c95509f000000000000000ffffffffffffffffffffffff",3.61,,0.32,17,20.48,33.22,100128.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-11T00:33:33Z,"0002cc01000003e9","2250bfe7ddfd39cf050f11147961c854f4f000000000000000ffffffffffffffffffffffff",3.61,,0.32,17,20.47,33.18,100125.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-114634.35
2022-12-11T00:39:29Z,"0002cc01000003e9","2250bfe941fd39cf050f11147661c654e50800000000000000ffffffffffffffffffffffff",3.61,,0.32,17,20.46,33.16,100116.00,4.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-11T00:45:25Z,"0002cc01000003e9","2250bfeaa5fd39cf050f11147461c454de0c00000000000000ffffffffffffffffffffffff",3.61,,0.32,17,20.45,33.15,100110.00,6.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-11T00:51:21Z,"0002cc01000003e9","2250bfec09fd39c7050f11147161c454b30c00000000000000ffffffffffffffffffffffff",3.61,,0.32,17,20.44,33.09,100108.00,12.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-11T00:57:17Z,"0002cc01000003e9","2250bfed6dfd39c7050f11147161c2546d0800000000000000ffffffffffffffffffffffff",3.61,,0.32,17,20.44,32.98,100102.00,1.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-11T01:03:13Z,"0002cc01000003e9","2250bfeed1fd39cf050f11147461c25427f000000000000000ffffffffffffffffffffffff",3.61,,0.32,17,20.45,32.87,100101.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-114634.35
2022-12-11T01:09:09Z,"0002cc01000003e9","2250bff035fd39c3050f11147961c153e2f000000000000000ffffffffffffffffffffffff",3.61,,0.32,17,20.47,32.77,100096.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-11T01:15:05Z,"0002cc01000003e9","2250bff199fd39c7050f11147661c153bff000000000000000ffffffffffffffffffffffff",3.61,,0.32,17,20.46,32.71,100097.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-114634.37
2022-12-11T01:21:02Z,"0002cc01000003e9","2250bff2fefd39cf051711147461c453a9f000000000000000ffffffffffffffffffffffff",3.61,,0.32,17,20.45,32.68,100109.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
