Time,DevEUI,Raw,Vbat,Vsystem,Vbus,BootCount,T,RH,P,Light,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2022-12-16T00:01:58Z,"0002cc01000003e9","2250c677f6fd395904fa11155a608b30621a08000000000000ffffffffffffffffffffffff",3.58,,0.31,17,21.35,18.90,98856.00,642.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-16T00:07:54Z,"0002cc01000003e9","2250c6795afd395004fa111558608c30d319b8000000000000ffffffffffffffffffffffff",3.58,,0.31,17,21.34,19.07,98862.00,622.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-16T00:13:50Z,"0002cc01000003e9","2250c67abefd394804fa111555608d308619d0000000000000ffffffffffffffffffffffff",3.58,,0.31,17,21.33,18.95,98865.00,628.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-16T00:19:46Z,"0002cc01000003e9","2250c67c22fd394804fa111555608d308d1a38000000000000ffffffffffffffffffffffff",3.58,,0.31,17,21.33,18.96,98867.00,654.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-16T00:25:42Z,"0002cc01000003e9","2250c67d86fd395904fa111555608c30c519c0000000000000ffffffffffffffffffffffff",3.58,,0.31,17,21.33,19.05,98861.00,624.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-16T00:31:38Z,"0002cc01000003e9","2250c67eeafd395004fa111555608e30861a70000000000000ffffffffffffffffffffffff",3.58,,0.31,17,21.33,18.95,98869.00,668.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-16T00:37:34Z,"0002cc01000003e9","2250c6804efd395004fa1115556091307f1a54000000000000ffffffffffffffffffffffff",3.58,,0.31,17,21.33,18.94,98880.00,661.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-16T00:43:30Z,"0002cc01000003e9","2250c681b2fd395004fa111555609130941a68000000000000ffffffffffffffffffffffff",3.58,,0.31,17,21.33,18.98,98880.00,666.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-16T00:49:26Z,"0002cc01000003e9","2250c68316fd395004fa1115556091307f1a1c000000000000ffffffffffffffffffffffff",3.58,,0.31,17,21.33,18.94,98883.00,647.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-16T00:55:22Z,"0002cc01000003e9","2250c6847afd395004fa111555609230a919f4000000000000ffffffffffffffffffffffff",3.58,,0.31,17,21.33,19.01,98887.00,637.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-16T01:01:19Z,"0002cc01000003e9","2250c685dffd395004fa111555609430a21a00000000000000ffffffffffffffffffffffff",3.58,,0.31,17,21.33,19.00,98892.00,640.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-16T01:07:14Z,"0002cc01000003e9","2250c68742fd395004fa111552609430af19a4000000000000ffffffffffffffffffffffff",3.58,,0.31,17,21.32,19.02,98894.00,617.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-16T01:13:11Z,"0002cc01000003e9","2250c688a7fd394804fa1115526096308c1a40000000000000ffffffffffffffffffffffff",3.58,,0.31,17,21.32,18.96,98901.00,656.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-16T01:19:07Z,"0002cc01000003e9","2250c68a0bfd395004fa111550609630931968000000000000ffffffffffffffffffffffff",3.58,,0.31,17,21.31,18.97,98900.00,602.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-16T01:25:03Z,"0002cc01000003e9","2250c68b6ffd394804fa11154d609530761a08000000000000ffffffffffffffffffffffff",3.58,,0.31,17,21.30,18.93,98896.00,642.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-16T01:30:59Z,"0002cc01000003e9","2250c68cd3fd394804fa11154d6095305a19fc000000000000ffffffffffffffffffffffff",3.58,,0.31,17,21.30,18.89,98899.00,639.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-16T01:36:55Z,"0002cc01000003e9","2250c68e37fd395004fa11154d609730761a0c000000000000ffffffffffffffffffffffff",3.58,,0.31,17,21.30,18.93,98905.00,643.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
