Time,DevEUI,Raw,Vbat,Vsystem,Vbus,BootCount,T,RH,P,Light,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2022-12-20T00:04:04Z,"0002cc01000003e9","2250cbbe74fd38ee04f21115a4625028040b18000000000000ffffffffffffffffffffffff",3.56,,0.31,17,21.64,15.63,100670.00,355.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-20T00:10:00Z,"0002cc01000003e9","2250cbbfd8fd38e604f211159d624e27ef0a48000000000000ffffffffffffffffffffffff",3.56,,0.31,17,21.61,15.60,100660.00,329.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-20T00:15:56Z,"0002cc01000003e9","2250cbc13cfd38e604e6111598624c27fc0b88000000000000ffffffffffffffffffffffff",3.56,,0.31,17,21.59,15.62,100655.00,369.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-20T00:21:53Z,"0002cc01000003e9","2250cbc2a1fd38de04f2111595624e28030b10000000000000ffffffffffffffffffffffff",3.55,,0.31,17,21.58,15.63,100663.00,354.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-20T00:27:49Z,"0002cc01000003e9","2250cbc405fd38ee04f2111590625328180ae8000000000000ffffffffffffffffffffffff",3.56,,0.31,17,21.56,15.66,100680.00,349.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-20T00:33:45Z,"0002cc01000003e9","2250cbc569fd38de04ee111592624f281f0b38000000000000ffffffffffffffffffffffff",3.55,,0.31,17,21.57,15.67,100664.00,359.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-20T00:39:41Z,"0002cc01000003e9","2250cbc6cdfd38e604f2111590624f281f0af8000000000000ffffffffffffffffffffffff",3.56,,0.31,17,21.56,15.67,100665.00,351.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-20T00:45:37Z,"0002cc01000003e9","2250cbc831fd38e604e6111590625028260ac8000000000000ffffffffffffffffffffffff",3.56,,0.31,17,21.56,15.68,100669.00,345.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-20T00:51:33Z,"0002cc01000003e9","2250cbc995fd38e604e611158d6250282d0b50000000000000ffffffffffffffffffffffff",3.56,,0.31,17,21.55,15.69,100671.00,362.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-20T00:57:29Z,"0002cc01000003e9","2250cbcaf9fd38da04ee11158b624e28260af8000000000000ffffffffffffffffffffffff",3.55,,0.31,17,21.54,15.68,100661.00,351.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-20T01:03:25Z,"0002cc01000003e9","2250cbcc5dfd38e604f2111588625028250af0000000000000ffffffffffffffffffffffff",3.56,,0.31,17,21.53,15.68,100670.00,350.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-20T01:09:21Z,"0002cc01000003e9","2250cbcdc1fd38e604f2111588625128330a28000000000000ffffffffffffffffffffffff",3.56,,0.31,17,21.53,15.70,100672.00,325.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-20T01:15:17Z,"0002cc01000003e9","2250cbcf25fd38e604f2111586625028480b28000000000000ffffffffffffffffffffffff",3.56,,0.31,17,21.52,15.74,100668.00,357.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-20T01:21:13Z,"0002cc01000003e9","2250cbd089fd38de04ee111586625028480b88000000000000ffffffffffffffffffffffff",3.55,,0.31,17,21.52,15.74,100669.00,369.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-20T01:27:09Z,"0002cc01000003e9","2250cbd1edfd38de04e6111586624e28560a40000000000000ffffffffffffffffffffffff",3.55,,0.31,17,21.52,15.76,100663.00,328.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-20T01:33:05Z,"0002cc01000003e9","2250cbd351fd38de04e6111583624a28790bf8000000000000ffffffffffffffffffffffff",3.55,,0.31,17,21.51,15.81,100647.00,383.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-20T01:39:01Z,"0002cc01000003e9","2250cbd4b5fd38de04f2111586624e288f0b40000000000000ffffffffffffffffffffffff",3.55,,0.31,17,21.52,15.84,100660.00,360.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
