Time,DevEUI,Raw,Vbat,Vsystem,Vbus,BootCount,T,RH,P,Light,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2022-12-14T00:03:56Z,"0002cc01000003e9","2250c3d56cfd398204fa1115c1609e5b2b1934000000000000ffffffffffffffffffffffff",3.59,,0.31,17,21.75,35.61,98933.00,589.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-14T00:09:51Z,"0002cc01000003e9","2250c3d6cffd398605031115c3609a5bd51928000000000000ffffffffffffffffffffffff",3.60,,0.31,17,21.76,35.87,98918.00,586.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-14T00:15:48Z,"0002cc01000003e9","2250c3d834fd398205031115c360975bff18dc000000000000ffffffffffffffffffffffff",3.59,,0.31,17,21.76,35.94,98907.00,567.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-14T00:21:44Z,"0002cc01000003e9","2250c3d998fd397d04fa1115c160915bfe195c000000000000ffffffffffffffffffffffff",3.59,,0.31,17,21.75,35.94,98883.00,599.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-14T00:27:40Z,"0002cc01000003e9","2250c3dafcfd397d05031115be608e5c671948000000000000ffffffffffffffffffffffff",3.59,,0.31,17,21.74,36.10,98868.00,594.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-14T00:33:36Z,"0002cc01000003e9","2250c3dc60fd397d05031115be60945c2e0fb0000000000000ffffffffffffffffffffffff",3.59,,0.31,17,21.74,36.01,98895.00,502.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-14T00:39:32Z,"0002cc01000003e9","2250c3ddc4fd397d04fa1115c1608c5cbc1884000000000000ffffffffffffffffffffffff",3.59,,0.31,17,21.75,36.22,98860.00,545.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-14T00:45:28Z,"0002cc01000003e9","2250c3df28fd397d04fa1115c8608f5d20194c000000000000ffffffffffffffffffffffff",3.59,,0.31,17,21.78,36.38,98875.00,595.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-14T00:51:24Z,"0002cc01000003e9","2250c3e08cfd398604fa1115cd608f5d3518f0000000000000ffffffffffffffffffffffff",3.60,,0.31,17,21.80,36.41,98873.00,572.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-14T00:57:20Z,"0002cc01000003e9","2250c3e1f0fd398604fa1115d8608f5d23193c000000000000ffffffffffffffffffffffff",3.60,,0.31,17,21.84,36.38,98872.00,591.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-14T01:03:16Z,"0002cc01000003e9","2250c3e354fd398605031115d8608b5d45189c000000000000ffffffffffffffffffffffff",3.60,,0.31,17,21.84,36.43,98859.00,551.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-14T01:09:12Z,"0002cc01000003e9","2250c3e4b8fd398605031115d8608a5ef90d00000000000000ffffffffffffffffffffffff",3.60,,0.31,17,21.84,37.10,98852.00,26.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-14T01:15:08Z,"0002cc01000003e9","2250c3e61cfd398204fa1115cd608a5eb70800000000000000ffffffffffffffffffffffff",3.59,,0.31,17,21.80,37.00,98855.00,2.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-14T01:21:04Z,"0002cc01000003e9","2250c3e780fd398605031115b4607d5f990e00000000000000ffffffffffffffffffffffff",3.60,,0.31,17,21.70,37.34,98801.00,7.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-14T01:27:00Z,"0002cc01000003e9","2250c3e8e4fd3975050711159d60766060f000000000000000ffffffffffffffffffffffff",3.59,,0.31,17,21.61,37.65,98773.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-14T01:32:56Z,"0002cc01000003e9","2250c3ea48fd398604fa11158d607e60daf000000000000000ffffffffffffffffffffffff",3.60,,0.31,17,21.55,37.83,98805.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
