Time,DevEUI,Raw,Port,Vbat,Version,BootCount,T,RH,P,Light,CO2,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2024-10-18T00:03:24Z,"0002cc0100000eb0","36543c684cf9356d0a1545c47900000000e000000000fdd2febaffffffffffff",2,3.34,,10,21.27,76.75,,0.00,,0,224,0,0,,,,-1.00,-1.00,-1.00,-0.84,-0.73
2024-10-18T00:09:20Z,"0002cc0100000eb0","36543c69b0f9356d0a1530c40a00000000e000000000ffffff89ffffff2cffffffff",2,3.34,,10,21.18,76.58,,0.00,,0,224,0,0,,,-1.00,-1.00,-0.90,-1.00,-0.94,-1.00
2024-10-18T00:15:16Z,"0002cc0100000eb0","36543c6b14f9356d0a1524c3a100000000e000000000ffffffffffa3ffffffff",2,3.34,,10,21.14,76.42,,0.00,,0,224,0,0,,,,-1.00,-1.00,-0.95,-1.00,-1.00
2024-10-18T00:21:12Z,"0002cc0100000eb0","36543c6c78f935710a1524c40200000000e000000000fc46fd15ffffffffffff",2,3.34,,10,21.14,76.57,,0.00,,0,224,0,0,,,,-1.00,-1.00,-1.00,-0.64,-0.53
2024-10-18T00:27:08Z,"0002cc0100000eb0","36543c6ddcf935690a151cc3bf00000000e000000000fffffffffffffeb9ffff",2,3.34,,10,21.11,76.46,,0.00,,0,224,0,0,,,,-1.00,-0.84,-1.00,-1.00,-1.00
2024-10-18T00:33:04Z,"0002cc0100000eb0","36543c6f40f935690a1521c3d700000000e101000000fd367ce4ffa6ffffffff",2,3.34,,10,21.13,76.50,,0.00,,1,225,0,0,,,,-1.00,-1.00,-0.96,0.61,-0.65
2024-10-18T00:39:00Z,"0002cc0100000eb0","36543c70a4f2020402001521c39800000000e100000000fffffffffffff702fe9a",2,,2.4.2.0,,21.13,76.40,,0.00,,0,225,0,0,,,,-0.83,-0.44,-1.00,-1.00,-1.00
2024-10-18T00:44:56Z,"0002cc0100000eb0","36543c7208f935690a1524c3c300000000e100000000fdc4ffbfffffffffffffffff",2,3.34,,10,21.14,76.47,,0.00,,0,225,0,0,,,-1.00,-1.00,-1.00,-1.00,-0.97,-0.72
2024-10-18T00:50:52Z,"0002cc0100000eb0","36543c736cf935710a1521c3c800000000e100000000ffffff74ffffffc8fd9c",2,3.34,,10,21.13,76.48,,0.00,,0,225,0,0,,,,-0.70,-0.97,-1.00,-0.93,-1.00
2024-10-18T00:56:48Z,"0002cc0100000eb0","36543c74d0f935690a1521c34a00000000e100000000ffffff9affffffffffffffff",2,3.34,,10,21.13,76.29,,0.00,,0,225,0,0,,,-1.00,-1.00,-1.00,-1.00,-0.95,-1.00
2024-10-18T01:02:44Z,"0002cc0100000eb0","36543c7634f935650a1527c35600000000e100000000ff0cffff76cffd96ffff",2,3.34,,10,21.15,76.30,,0.00,,0,225,0,0,,,,-1.00,-0.70,0.43,-1.00,-0.88
2024-10-18T01:08:40Z,"0002cc0100000eb0","36543c7798f9356d0a151cc39b00000000e100000000ffffffffffd4ff43ffff",2,3.34,,10,21.11,76.41,,0.00,,0,225,0,0,,,,-1.00,-0.91,-0.98,-1.00,-1.00
2024-10-18T01:14:36Z,"0002cc0100000eb0","36543c78fcf935790a1530c37e00000000e30200000074ef773f75d576e47c0e769c",2,3.34,,10,21.18,76.37,,0.00,,2,227,0,0,,,0.41,0.51,0.43,0.36,0.45,0.31
2024-10-18T01:20:32Z,"0002cc0100000eb0","36543c7a60f935710a1549c47c00000000e3000000007c8174c15cde7c7b7c20",2,3.34,,10,21.28,76.75,,0.00,,0,227,0,0,,,,0.52,0.56,0.04,0.30,0.56
2024-10-18T01:26:27Z,"0002cc0100000eb0","36543c7bc3f935690a155ec4bb00000000e60300000076016f636d94e4177c03",2,3.34,,10,21.37,76.85,,0.00,,3,230,0,0,,,,0.50,-0.06,0.17,0.23,0.38
2024-10-18T01:32:23Z,"0002cc0100000eb0","36543c7d27f9356d0a1569c4df00000000e70100000074e17e137cdd7c667d48f66a",2,3.34,,10,21.41,76.90,,0.00,,1,231,0,0,,,-0.40,0.66,0.55,0.61,0.76,0.31
2024-10-18T01:38:19Z,"0002cc0100000eb0","36543c7e8bf9356d0a1574c59c00000000e7000000006e627ce66dde76347545",2,3.34,,10,21.45,77.19,,0.00,,0,231,0,0,,,,0.33,0.39,0.18,0.61,0.20
2024-10-18T01:44:15Z,"0002cc0100000eb0","36543c7feff935690a156cc5ab00000000e80100000067be7dc67d927d737d56d5b2",2,3.34,,10,21.42,77.22,,0.00,,1,232,0,0,,,-0.02,0.67,0.68,0.70,0.72,0.12
2024-10-18T01:50:11Z,"0002cc0100000eb0","36543c8153f9356d0a1569c50f00000000e901000000f6e57c977cb07c92fcfd",2,3.34,,10,21.41,76.98,,0.00,,1,233,0,0,,,,-0.62,0.57,0.59,0.57,-0.43
