Time,DevEUI,Raw,Vbat,Vsystem,Vbus,BootCount,T,RH,P,Light,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2022-12-19T00:02:03Z,"0002cc01000003e9","2250ca6c7bfd3907050311142c623a2120f000000000000000ffffffffffffffffffffffff",3.56,,0.31,17,20.17,12.94,100582.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-19T00:07:59Z,"0002cc01000003e9","2250ca6ddffd38fe04fa11142c623b21200900000000000000ffffffffffffffffffffffff",3.56,,0.31,17,20.17,12.94,100587.00,18.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-19T00:13:55Z,"0002cc01000003e9","2250ca6f43fd390704fa11142c623b21270900000000000000ffffffffffffffffffffffff",3.56,,0.31,17,20.17,12.95,100585.00,18.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-19T00:19:51Z,"0002cc01000003e9","2250ca70a7fd38fe04fa11142c623b21270e00000000000000ffffffffffffffffffffffff",3.56,,0.31,17,20.17,12.95,100585.00,14.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-19T00:25:47Z,"0002cc01000003e9","2250ca720bfd390704fa11142c623b212e0800000000000000ffffffffffffffffffffffff",3.56,,0.31,17,20.17,12.96,100586.00,1.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-19T00:31:43Z,"0002cc01000003e9","2250ca736ffd38fa04fa11142c623d213cf000000000000000ffffffffffffffffffffffff",3.56,,0.31,17,20.17,12.98,100595.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-19T00:37:39Z,"0002cc01000003e9","2250ca74d3fd390704fa11142c62402143f000000000000000ffffffffffffffffffffffff",3.56,,0.31,17,20.17,12.99,100605.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-19T00:43:35Z,"0002cc01000003e9","2250ca7637fd38fe04fa11142c624321580800000000000000ffffffffffffffffffffffff",3.56,,0.31,17,20.17,13.03,100616.00,16.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-19T00:49:31Z,"0002cc01000003e9","2250ca779bfd38fe04fa1114296242216d0a00000000000000ffffffffffffffffffffffff",3.56,,0.31,17,20.16,13.06,100614.00,10.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-19T00:55:27Z,"0002cc01000003e9","2250ca78fffd390704fa11142c6242217bf000000000000000ffffffffffffffffffffffff",3.56,,0.31,17,20.17,13.08,100615.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-19T01:01:23Z,"0002cc01000003e9","2250ca7a63fd38fe04fa111429624221890800000000000000ffffffffffffffffffffffff",3.56,,0.31,17,20.16,13.10,100614.00,1.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-19T01:07:19Z,"0002cc01000003e9","2250ca7bc7fd390705031114296241219f0a00000000000000ffffffffffffffffffffffff",3.56,,0.31,17,20.16,13.13,100611.00,10.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-19T01:13:15Z,"0002cc01000003e9","2250ca7d2bfd390704fa111429624321a6f000000000000000ffffffffffffffffffffffff",3.56,,0.31,17,20.16,13.14,100618.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
