Time,DevEUI,Raw,Vbat,Vsystem,Vbus,BootCount,T,RH,P,Light,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2022-12-08T00:03:51Z,"0002cc01000003e9","2250bbec67fd39fc050f1114d2623660f0f000000000000000ffffffffffffffffffffffff",3.62,,0.32,17,20.82,37.87,100567.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-08T00:09:47Z,"0002cc01000003e9","2250bbedcbfd3a01050f1114d5623560f20f00000000000000ffffffffffffffffffffffff",3.62,,0.32,17,20.83,37.87,100561.00,15.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-08T00:15:43Z,"0002cc01000003e9","2250bbef2ffd39fc05171114d8623560f90e00000000000000ffffffffffffffffffffffff",3.62,,0.32,17,20.84,37.88,100563.00,7.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-08T00:21:39Z,"0002cc01000003e9","2250bbf093fd39fc05171114da623161070f00000000000000ffffffffffffffffffffffff",3.62,,0.32,17,20.85,37.90,100545.00,15.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-08T00:27:35Z,"0002cc01000003e9","2250bbf1f7fd3a0d050f1114d8623961300f00000000000000ffffffffffffffffffffffff",3.63,,0.32,17,20.84,37.96,100578.00,15.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-08T00:33:31Z,"0002cc01000003e9","2250bbf35bfd39fc050f1114da623961390900000000000000ffffffffffffffffffffffff",3.62,,0.32,17,20.85,37.98,100576.00,9.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-08T00:39:27Z,"0002cc01000003e9","2250bbf4bffd39fc05171114d8623f612a0800000000000000ffffffffffffffffffffffff",3.62,,0.32,17,20.84,37.96,100602.00,2.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-08T00:45:23Z,"0002cc01000003e9","2250bbf623fd3a0105171114d8623f610e0e00000000000000ffffffffffffffffffffffff",3.62,,0.32,17,20.84,37.91,100602.00,7.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-08T00:51:19Z,"0002cc01000003e9","2250bbf787fd3a0105171114d8623f6107f000000000000000ffffffffffffffffffffffff",3.62,,0.32,17,20.84,37.90,100603.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-08T00:57:15Z,"0002cc01000003e9","2250bbf8ebfd3a0105171114d562416100f000000000000000ffffffffffffffffffffffff",3.62,,0.32,17,20.83,37.89,100608.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-08T01:03:11Z,"0002cc01000003e9","2250bbfa4ffd39f8051f1114d5624360f1f000000000000000ffffffffffffffffffffffff",3.62,,0.32,17,20.83,37.87,100619.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-08T01:09:07Z,"0002cc01000003e9","2250bbfbb3fd39f805171114d5624660dc0880000000000000ffffffffffffffffffffffff",3.62,,0.32,17,20.83,37.84,100630.00,17.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-08T01:15:03Z,"0002cc01000003e9","2250bbfd17fd3a05050f1114d2624660c60c00000000000000ffffffffffffffffffffffff",3.63,,0.32,17,20.82,37.80,100629.00,3.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-08T01:20:59Z,"0002cc01000003e9","2250bbfe7bfd3a0505171114d2624560ab0800000000000000ffffffffffffffffffffffff",3.63,,0.32,17,20.82,37.76,100626.00,2.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2022-12-08T01:26:55Z,"0002cc01000003e9","2250bbffdffd3a0105171114d56246608ff000000000000000ffffffffffffffffffffffff",3.62,,0.32,17,20.83,37.72,100629.00,0.00,0,0,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
