Time,DevEUI,Raw,Port,Vbat,Version,BootCount,T,RH,P,Light,CO2,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2024-10-27T00:04:34Z,"0002cc0100000eb0","3654484612f9356913153ec2600000000302010000007c9a74acfc70fca07c25",2,3.34,,19,21.24,75.93,,0.00,,1,770,0,0,,,,0.52,-0.58,-0.55,0.29,0.58
2024-10-27T00:10:30Z,"0002cc0100000eb0","3654484776f9356d13153ec1da0000000303010000006d8bfffffca477e17c94",2,3.34,,19,21.24,75.72,,0.00,,1,771,0,0,,,,0.57,0.49,-0.58,-1.00,0.17
2024-10-27T00:16:26Z,"0002cc0100000eb0","36544848daf93569131549c668000000030502000000f6c6f61d77f77e1f6d6f",2,3.34,,19,21.28,77.50,,0.00,,2,773,0,0,,,,0.17,0.76,0.50,-0.38,-0.42
2024-10-27T00:22:22Z,"0002cc0100000eb0","3654484a3ef93561131566c641000000030500000000e5757506743b7404f405",2,3.34,,19,21.40,77.44,,0.00,,0,773,0,0,,,,-0.25,0.25,0.26,0.31,-0.09
2024-10-27T00:28:18Z,"0002cc0100000eb0","3654484ba2f9356913154cc350000000030500000000fe12fdadfcbefcf6f566",2,3.34,,19,21.30,76.30,,0.00,,0,773,0,0,,,,-0.34,-0.62,-0.59,-0.71,-0.76
2024-10-27T00:34:14Z,"0002cc0100000eb0","3654484d06f93569131530c233000000030500000000ffffffffff1cff77ffffffff",2,3.34,,19,21.18,75.86,,0.00,,0,773,0,0,,,-1.00,-1.00,-0.93,-0.89,-1.00,-1.00
2024-10-27T00:40:10Z,"0002cc0100000eb0","3654484e6af9356513151cc1da000000030500000000ffffffffffffffffffffffff",2,3.34,,19,21.11,75.72,,0.00,,0,773,0,0,,,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2024-10-27T00:46:06Z,"0002cc0100000eb0","3654484fcef9356d13150bc0e1000000030500000000fffffffffffffffff7e9",2,3.34,,19,21.04,75.34,,0.00,,0,773,0,0,,,,-0.49,-1.00,-1.00,-1.00,-1.00
2024-10-27T00:52:02Z,"0002cc0100000eb0","3654485132f93569131516c197000000030702000000ed24ed71f40b66cd7d93",2,3.34,,19,21.08,75.62,,0.00,,2,775,0,0,,,,0.70,0.11,-0.25,-0.17,-0.16
2024-10-27T00:57:58Z,"0002cc0100000eb0","3654485296f9357d131524c2730000000309020000007d3d7408cd93f71a77bcef1a",2,3.34,,19,21.14,75.96,,0.00,,2,777,0,0,,,-0.22,0.48,-0.44,-0.01,0.25,0.65
2024-10-27T01:03:51Z,"0002cc0100000eb0","36544853f7f2020402001519c131000000030900000000f6c2fc28fdd4fd4dfe6e",3,,2.4.2.0,,21.10,75.47,,0.00,,0,777,0,0,,,,-0.80,-0.66,-0.73,-0.52,-0.42
2024-10-27T01:09:47Z,"0002cc0100000eb0","365448555bf9357113150ec0ec000000030a01000000ffffffffff41fc21eda36dac",2,3.34,,19,21.05,75.36,,0.00,,1,778,0,0,,,0.18,-0.18,-0.52,-0.91,-1.00,-1.00
2024-10-27T01:15:42Z,"0002cc0100000eb0","36544856bef93571131524c1af000000030a00000000eee57d3976f4758eeffe",2,3.34,,19,21.14,75.66,,0.00,,0,778,0,0,,,,-0.25,0.35,0.43,0.65,-0.22
2024-10-27T01:21:38Z,"0002cc0100000eb0","3654485822f93569131524c0b9000000030b01000000f5297d58761b761077b0",2,3.34,,19,21.14,75.28,,0.00,,1,779,0,0,,,,0.48,0.38,0.38,0.67,-0.32
2024-10-27T01:27:34Z,"0002cc0100000eb0","3654485986f93569131533c387000000030b000000006d4e75377d3d7cf2b5de",2,3.34,,19,21.20,76.38,,0.00,,0,779,0,0,,,,-0.00,0.62,0.65,0.33,0.17
2024-10-27T01:33:30Z,"0002cc0100000eb0","3654485aeaf93569131536c165000000030b000000007d867cca745cec457cb47e12",2,3.34,,19,21.21,75.55,,0.00,,0,779,0,0,,,0.76,0.59,-0.13,0.27,0.60,0.69
2024-10-27T01:39:26Z,"0002cc0100000eb0","3654485c4ef93569131536c2a0000000030c01000000ffc1668a7d097cc17524",2,3.34,,19,21.21,76.03,,0.00,,1,780,0,0,,,,0.32,0.59,0.63,0.10,-0.97
2024-10-27T01:45:22Z,"0002cc0100000eb0","3654485db2f93561131541c3f2000000030c000000007c195550775dfc527460",2,3.34,,19,21.25,76.54,,0.00,,0,780,0,0,,,,0.27,-0.54,0.46,0.02,0.51
2024-10-27T01:51:18Z,"0002cc0100000eb0","3654485f16f93569131557c422000000030d010000007dde7c2077e3771f74c97681",2,3.34,,19,21.34,76.62,,0.00,,1,781,0,0,,,0.41,0.30,0.45,0.49,0.52,0.73
2024-10-27T01:57:14Z,"0002cc0100000eb0","365448607af93569131545c248000000030e010000007c7b7d8cf4a2f63af41e",2,3.34,,19,21.27,75.89,,0.00,,1,782,0,0,,,,-0.26,-0.39,-0.29,0.69,0.56
2024-10-27T02:03:10Z,"0002cc0100000eb0","36544861def9356d131550c377000000030f01000000fc81ec3a766375f87c82",2,3.34,,19,21.31,76.35,,0.00,,1,783,0,0,,,,0.56,0.37,0.40,-0.13,-0.56
2024-10-27T02:09:06Z,"0002cc0100000eb0","3654486342f9356d131557c237000000030f000000006c247d8c7c997c447da9",2,3.34,,19,21.34,75.87,,0.00,,0,783,0,0,,,,0.71,0.53,0.57,0.69,0.13
2024-10-27T02:15:02Z,"0002cc0100000eb0","36544864a6f9356d13154cc2fc000000030f000000007cce7d407ca5ff62ed547486",2,3.34,,19,21.30,76.17,,0.00,,0,783,0,0,,,0.28,-0.17,-0.92,0.58,0.66,0.60
2024-10-27T02:20:58Z,"0002cc0100000eb0","365448660af93571131549c18e0000000310010000007c237ca87e4c745effff",2,3.34,,19,21.28,75.61,,0.00,,1,784,0,0,,,,-1.00,0.27,0.79,0.58,0.52
2024-10-27T02:26:54Z,"0002cc0100000eb0","365448676ef93571131536c1890000000310000000007d707d4c7cddf56f7c27",2,3.34,,19,21.21,75.60,,0.00,,0,784,0,0,,,,0.52,-0.34,0.61,0.66,0.68
2024-10-27T02:32:49Z,"0002cc0100000eb0","36544868d1f93571131541c189000000031101000000fd6df4766e70ce147d97",2,3.34,,19,21.25,75.60,,0.00,,1,785,0,0,,,,0.70,-0.01,0.20,-0.28,-0.68
2024-10-27T02:38:45Z,"0002cc0100000eb0","3654486a35f9357913153ec1100000000311000000007dcd7c757e846e6bfe4e",2,3.34,,19,21.24,75.42,,0.00,,0,785,0,0,,,,-0.79,0.20,0.81,0.56,0.72
2024-10-27T02:44:41Z,"0002cc0100000eb0","3654486b99f9356d131533c1950000000312010000007582ffffef3e6e9c659f",2,3.34,,19,21.20,75.62,,0.00,,1,786,0,0,,,,0.09,0.21,-0.23,-1.00,0.34
2024-10-27T02:50:37Z,"0002cc0100000eb0","3654486cfdf9356d131536c1ac00000003120000000076eff6167c9a7ca27cc27d89",2,3.34,,19,21.21,75.65,,0.00,,0,786,0,0,,,0.69,0.59,0.58,0.58,-0.38,0.43
2024-10-27T02:56:33Z,"0002cc0100000eb0","3654486e61f93569131550c2330000000313010000005c797cc67c7276d87dea",2,3.34,,19,21.31,75.86,,0.00,,1,787,0,0,,,,0.74,0.43,0.56,0.60,0.03
2024-10-27T03:02:29Z,"0002cc0100000eb0","3654486fc5f9356d131541c0b00000000313000000007ccc7d366ed47419fc16",2,3.34,,19,21.25,75.27,,0.00,,0,787,0,0,,,,-0.51,0.26,0.21,0.65,0.60
2024-10-27T03:08:25Z,"0002cc0100000eb0","3654487129f93579131530c096000000031300000000f5c3ffe4fd1ffefefe2b",2,3.34,,19,21.18,75.23,,0.00,,0,787,0,0,,,,-0.77,-0.87,-0.64,-0.99,-0.36
2024-10-27T03:14:21Z,"0002cc0100000eb0","365448728df9356d131524c122000000031300000000fffffd89fd2d77ffdd39",2,3.34,,19,21.14,75.44,,0.00,,0,787,0,0,,,,-0.04,0.50,-0.65,-0.69,-1.00
2024-10-27T03:20:17Z,"0002cc0100000eb0","36544873f1f9356d13151cc108000000031300000000f4abfca2fc04f744fcd6",2,3.34,,19,21.11,75.40,,0.00,,0,787,0,0,,,,-0.60,-0.45,-0.50,-0.58,-0.29
2024-10-27T03:26:13Z,"0002cc0100000eb0","3654487555f9356d131516c0bf000000031300000000ffd2ffffff41fe36ffffffff",2,3.34,,19,21.08,75.29,,0.00,,0,787,0,0,,,-1.00,-1.00,-0.78,-0.91,-1.00,-0.98
2024-10-27T03:32:09Z,"0002cc0100000eb0","36544876b9f93579131507c08c000000031300000000ff49fcf1ffffffffffff",2,3.34,,19,21.03,75.21,,0.00,,0,787,0,0,,,,-1.00,-1.00,-1.00,-0.62,-0.91
2024-10-27T03:38:05Z,"0002cc0100000eb0","365448781df9356d131503c057000000031300000000fffffeafffffffffffff",2,3.34,,19,21.01,75.13,,0.00,,0,787,0,0,,,,-1.00,-1.00,-1.00,-0.84,-1.00
2024-10-27T03:44:01Z,"0002cc0100000eb0","3654487981f9356d1314f8c035000000031300000000ffffffffffffffffffff",2,3.34,,19,20.97,75.08,,0.00,,0,787,0,0,,,,-1.00,-1.00,-1.00,-1.00,-1.00
