Time,DevEUI,Raw,Port,Vbat,Version,BootCount,T,RH,P,Light,CO2,P[0].delta,P[0].total,P[1].delta,P[1].total,Act[7],Act[6],Act[5],Act[4],Act[3],Act[2],Act[1],Act[0]
2024-10-28T00:00:02Z,"0002cc0100000eb0","3654499682f9356d13150bbe4f000000034500000000fffffffffffffffff725",2,3.34,,19,21.04,74.34,,0.00,,0,837,0,0,,,,-0.45,-1.00,-1.00,-1.00,-1.00
2024-10-28T00:05:58Z,"0002cc0100000eb0","36544997e6f93569131512be15000000034500000000ff2d776cf64a5e1dee9ffd58",2,3.34,,19,21.07,74.25,,0.00,,0,837,0,0,,,-0.67,-0.21,0.05,-0.39,0.46,-0.90
2024-10-28T00:11:54Z,"0002cc0100000eb0","365449994af9357113150bbf6f000000034601000000f489dfc1f71f6416f7c0",2,3.34,,19,21.04,74.78,,0.00,,1,838,0,0,,,,-0.48,0.06,-0.45,-0.06,-0.28
2024-10-28T00:17:50Z,"0002cc0100000eb0","3654499aaef93569131516c08000000003470100000075f67414fd7fe4da672c",2,3.34,,19,21.08,75.20,,0.00,,1,839,0,0,,,,0.11,-0.08,-0.69,0.25,0.37
2024-10-28T00:23:46Z,"0002cc0100000eb0","3654499c12f93569131527c125000000034a030000006d8bfe28f7c474ec7c9e",2,3.34,,19,21.15,75.45,,0.00,,3,842,0,0,,,,0.58,0.31,-0.49,-0.77,0.17
2024-10-28T00:29:42Z,"0002cc0100000eb0","3654499d76f9356113153ac087000000034a000000007e3e7c297d66effdf5ff64f0",2,3.34,,19,21.22,75.21,,0.00,,0,842,0,0,,,0.08,-0.37,-0.25,0.67,0.52,0.78
2024-10-28T00:35:38Z,"0002cc0100000eb0","3654499edaf934b1131549c260000000034b010000007d817513f50e764e7449",2,3.29,,19,21.28,75.93,,0.00,,1,843,0,0,,,,0.27,0.39,-0.32,0.32,0.69
2024-10-28T00:41:34Z,"0002cc0100000eb0","365449a03ef932ee131557c0d8000000034b000000006fc07d707c9567c0ec72742d",4,3.18,,19,21.34,75.33,,0.00,,0,843,0,0,,,0.26,-0.14,0.12,0.57,0.68,0.24
2024-10-28T01:40:53Z,"0002cc0100000eb0","365449ae25f2020402001507be8d000000034c01000000fcdffc84ff99fe70fd7cfd71",2,,2.4.2.0,,21.03,74.44,,0.00,,1,844,0,0,,,-0.68,-0.69,-0.80,-0.95,-0.56,-0.61
2024-10-28T01:46:49Z,"0002cc0100000eb0","365449af89f93565131503be60000000034c00000000fe6fff71f45dfc93ffd4",2,3.34,,19,21.01,74.37,,0.00,,0,844,0,0,,,,-0.98,-0.57,-0.27,-0.93,-0.80
2024-10-28T01:52:45Z,"0002cc0100000eb0","365449b0edf9356d131512bfa4000000034f03000000f6bb6cda66f1fdfeee13",2,3.34,,19,21.07,74.86,,0.00,,3,847,0,0,,,,-0.19,-0.75,0.11,0.15,-0.42
2024-10-28T01:58:41Z,"0002cc0100000eb0","365449b251f93571131530c168000000035001000000755c669aef13fee27cc077c9",2,3.34,,19,21.18,75.55,,0.00,,1,848,0,0,,,0.49,0.59,-0.86,-0.22,0.10,0.33
2024-10-28T02:04:37Z,"0002cc0100000eb0","365449b3b5f9356113153ac1610000000351010000007743f4c66d57fc367d4a",2,3.34,,19,21.22,75.54,,0.00,,1,849,0,0,,,,0.66,-0.53,0.17,-0.30,0.45
2024-10-28T02:10:32Z,"0002cc0100000eb0","365449b518f9357913154cc0d200000003530200000055ac7c8c765e77d57ead",2,3.34,,19,21.30,75.32,,0.00,,2,851,0,0,,,,0.83,0.49,0.40,0.57,0.02
